artist,title,song_id,song_score,line_index,line_text,rhyme_group_id,rhyme_letter,syllable_count,syllable_bucket,internal_density
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,0,No one on the corner has swagger like us,0,A,11,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,1,"Swagger like us, swagger-swagger like us",0,A,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,2,No one on the corner has swagger like us,0,A,11,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,3,"Swagger like us, swagger-swagger like us",0,A,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,4,No one on the corner has swagger like us,0,A,11,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,5,"Swagger like us, swagger-swagger like us",0,A,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,6,No one on the corner has swagger like us,0,A,11,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,7,"Swagger like us, swagger-swagger like us",0,A,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,8,No one on the corner has swagger like us,0,A,11,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,9,"Swagger like us, swagger-swagger like us",0,A,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,10,No one on the corner has swagger like us,0,A,11,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,11,"Swagger like us, swagger-swagger like us",0,A,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,12,No one on the corner has swagger like us,0,A,11,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,13,"Swagger like us, swagger-swagger like us",0,A,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,14,No one on the corner has swagger like us,0,A,11,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,15,"Swagger like us, swagger-swagger like us",0,A,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,16,Mr. West is in the buildin',1,B,8,SYL_7_8,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,17,Swagger on a hundred thousand trillion,2,C,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,18,Ayo I know I got it first,2,C,8,SYL_7_8,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,19,"I'm Christopher Columbus, y'all just the Pilgrims",0,A,12,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,20,"Thanksgiving, do we even got a question?",3,D,11,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,21,"Hermes, Pastelle, I pass the dressin'",1,B,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,22,"My attitude is tattooed, that mean it's permanent",3,D,13,SYL_13_14,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,23,"So I guess we should address it, huh?",1,B,9,SYL_9_10,INT_MED
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,24,My swagger is Mick Jagger,4,E,7,SYL_7_8,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,25,"Every time I breathe on a track, I asthma attack it",2,C,15,SYL_15_PLUS,INT_MED
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,26,"""Why you so mad for? Why you gotta have it?""",2,C,11,SYL_11_12,INT_MED
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,27,"'Cause I slaved my whole life, now I'm the master",4,E,12,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,28,Naaaaa-na-naaaaa,1,B,3,SYL_0_6,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,29,How it feel to wake up and be the shit and the urine,5,F,14,SYL_13_14,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,30,Naaaaa-na-naaaaa,1,B,3,SYL_0_6,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,31,"Tryin' to get that Kobe number, one over Jordan",5,F,14,SYL_13_14,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,32,No one on the corner has swagger like us,0,A,11,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,33,"Swagger like us, swagger-swagger like us",0,A,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,34,No one on the corner has swagger like us,0,A,11,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,35,"Swagger like us, swagger-swagger like us",0,A,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,36,No one on the corner has swagger like us,0,A,11,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,37,"Swagger like us, swagger-swagger like us",0,A,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,38,No one on the corner has swagger like us,0,A,11,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,39,"Swagger like us, swagger-swagger like us",0,A,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,40,Got a bop like this,0,A,5,SYL_0_6,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,41,"Can't wear skinny jeans, 'cause my knots don't fit",2,C,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,42,No one on the corner got a pocket like this,0,A,12,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,43,"So I rock Roc jeans, 'cause my knots so thick",2,C,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,44,You can learn how to dress just by checkin' my fresh,0,A,12,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,45,"Checkin' checkin' my fresh, checkin' checkin' my fresh",0,A,12,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,46,Follow my steps is the road to success,6,G,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,47,Where the niggas know you're thorough when the girls say yes,1,B,13,SYL_13_14,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,48,But I can't teach you my swag,3,D,7,SYL_7_8,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,49,"You can pay for school, but you can't buy class",3,D,10,SYL_9_10,INT_MED
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,50,"School of hard knocks, I'm a grad",2,C,7,SYL_7_8,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,51,And that all-blue Yankee is my graduation cap,3,D,13,SYL_13_14,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,52,It's Hooooovaaaa,1,B,3,SYL_0_6,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,53,"Dippin' different Rovers, whippin' with the soda",0,A,13,SYL_13_14,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,54,Hooooovaaaa,1,B,2,SYL_0_6,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,55,Did you even have any doubt? After Doubt it was over,5,F,15,SYL_15_PLUS,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,56,No one on the corner has swagger like us,0,A,11,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,57,"Swagger like us, swagger-swagger like us",0,A,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,58,No one on the corner has swagger like us,0,A,11,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,59,"Swagger like us, swagger-swagger like us",0,A,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,60,No one on the corner has swagger like us,0,A,11,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,61,"Swagger like us, swagger-swagger like us",0,A,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,62,No one on the corner has swagger like us,0,A,11,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,63,"Swagger like us, swagger-swagger like us",0,A,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,64,No one on the corner has swagger like moi,1,B,11,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,65,"Church, but I'm too clean for the choir",4,E,9,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,66,I require what I desire,4,E,9,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,67,"I got stripes, Adidas",0,A,6,SYL_0_6,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,68,"Mami scream ""!Papi, no mas!""",0,A,7,SYL_7_8,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,69,"Run up in your shit, just me, no mas",0,A,9,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,70,Runnin' this shit like I got four thighs,0,A,9,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,71,No one has swagger like these four guys,0,A,9,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,72,"Now when it comes to styles, I got several",4,E,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,73,Sharper than the swag or dagger all metal,5,F,11,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,74,And my jewels blue and yellow,1,B,8,SYL_7_8,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,75,The type of shit that make 'em call you Carmelo,1,B,12,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,76,Rules as follows: stay true to the ghetto,1,B,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,77,"Write your name on the bullet, make you feel special",3,D,12,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,78,Ha! What the fuck you boys talkin' 'bout?,5,F,9,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,79,"I know it's us, 'cause we the only thing to talk about",5,F,14,SYL_13_14,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,80,No one on the corner has swagger like us,0,A,11,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,81,"Swagger like us, swagger-swagger like us",0,A,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,82,No one on the corner has swagger like us,0,A,11,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,83,"Swagger like us, swagger-swagger like us",0,A,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,84,No one on the corner has swagger like us,0,A,11,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,85,"Swagger like us, swagger-swagger like us",0,A,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,86,No one on the corner has swagger like us,0,A,11,SYL_11_12,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,87,"Swagger like us, swagger-swagger like us",0,A,10,SYL_9_10,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,88,"Aye, you can go see Weezy for the wordplay, Jeezy for the bird play",3,D,17,SYL_15_PLUS,INT_NONE
JAY-Z & T.I.,Swagga Like Us,chunk1_row182,0.426946,89,"Kanyeezy for diversity, and me for controversy",7,H,15,SYL_15_PLUS,INT_NONE
